GEO.display-label,HC03_VC95,HC03_VC96
Geography,Percent; EDUCATIONAL ATTAINMENT - Percent high school graduate or higher,Percent; EDUCATIONAL ATTAINMENT - Percent bachelor's degree or higher
Alabama,84.8,24
Alaska,92.3,28.8
Arizona,86.2,28
Arkansas,85.2,21.5
California,82.1,32
Colorado,91,38.7
Connecticut,90.1,38
Delaware,88.8,30.5
District of Columbia,90,55.4
Florida,87.2,27.9
Georgia,85.8,29.4
Hawaii,91.3,31.4
Idaho,90,26.2
Illinois,88.3,32.9
Indiana,88.1,24.6
Iowa,91.7,27.2
Kansas,90.3,31.6
Kentucky,84.6,22.7
Louisiana,83.8,23
Maine,91.9,29.3
Maryland,89.6,38.4
Massachusetts,90.1,41.2
Michigan,89.9,27.4
Minnesota,92.6,34.2
Mississippi,83,21
Missouri,88.8,27.6
Montana,92.9,29.9
Nebraska,90.7,30
Nevada,85.4,23.2
New Hampshire,92.6,35.5
New Jersey,88.9,37.5
New Mexico,84.6,26.7
New York,85.9,34.7
North Carolina,86.3,29
North Dakota,92,28.2
Ohio,89.5,26.7
Oklahoma,87.3,24.5
Oregon,90,31.4
Pennsylvania,89.5,29.3
Rhode Island,87,32.5
South Carolina,86,26.5
South Dakota,91.2,27.5
Tennessee,86,25.4
Texas,82.3,28.1
Utah,91.5,31.7
Vermont,91.9,36.2
Virginia,88.6,36.9
Washington,90.6,33.6
West Virginia,85.3,19.6
Wisconsin,91.4,28.4
Wyoming,92.4,26